OSM_ID,OSM_Type,SP,Nazwa,Adres,Latitude,Longitude,OSM_Version
625177757,way,,Orlen,"współrzędne: 52.98575, 18.07642",52.985749,18.076425,
629668025,way,,Orlen,"współrzędne: 50.07474, 20.14047",50.074744,20.140470,
640609486,way,,Orlen,"współrzędne: 50.23041, 18.97216",50.230405,18.972157,
647533049,way,,Orlen,"współrzędne: 52.85202, 19.69172",52.852019,19.691721,
656362524,way,,ORLEN,"współrzędne: 52.17786, 21.58030",52.177856,21.580297,
661912528,way,,Orlen,"współrzędne: 54.11788, 16.68177",54.117880,16.681768,
662848848,way,,Orlen,"współrzędne: 51.15673, 21.97310",51.156730,21.973104,
668536646,way,,Orlen,"współrzędne: 53.59573, 17.84423",53.595729,17.844229,
674217402,way,,Orlen,"współrzędne: 52.39231, 20.93386",52.392312,20.933858,
680768276,way,,Orlen,"ul. Wojska Polskiego 40, Barczewo",53.836412,20.695143,
683196537,node,,PKN Orlen,"ul. Oskara Kolberga 2, 26-300 Opoczno",51.369389,20.295785,
691362960,way,,Orlen,"współrzędne: 53.56559, 20.97780",53.565588,20.977805,
699216217,way,,Orlen,"ul. Tczewska 22, 83-032 Pszczółki",54.166500,18.703614,
704383662,way,,Orlen,"współrzędne: 54.02118, 16.97698",54.021180,16.976979,
704975421,way,,Orlen,"współrzędne: 53.31171, 17.95673",53.311705,17.956728,
712160777,way,,Orlen,"ul. Aleja Jerzego Szajnowicza-Iwanowa 22, 25-636 Kielce",50.882874,20.577797,
713273357,way,,Orlen,"współrzędne: 52.43200, 21.03169",52.431995,21.031689,
714996993,way,,Orlen,"współrzędne: 50.10598, 19.00699",50.105982,19.006989,
718787988,way,,Orlen,"współrzędne: 50.04798, 19.90241",50.047979,19.902411,
723257232,way,,Orlen,"współrzędne: 53.12910, 18.06504",53.129095,18.065037,
723396079,way,,Orlen,"współrzędne: 51.41577, 19.57046",51.415771,19.570463,
725186422,way,,Orlen,"ul. Mazowiecka 75, 05-825 Książenice",52.071558,20.699538,
727020173,way,,Orlen,"współrzędne: 53.44176, 17.53080",53.441762,17.530803,
746777083,way,,Orlen,"współrzędne: 50.01563, 19.35548",50.015628,19.355483,
749292409,way,,Orlen,"współrzędne: 51.94563, 15.50383",51.945626,15.503830,
756780215,way,,Orlen,"współrzędne: 52.69046, 21.08114",52.690464,21.081141,
763977979,way,,Orlen,"współrzędne: 51.30890, 22.21958",51.308903,22.219580,
764606627,way,,Orlen,"współrzędne: 49.77122, 19.64489",49.771218,19.644892,
770799061,way,,Orlen,"współrzędne: 49.86622, 20.29919",49.866221,20.299194,
